0	1,11
1	2,6
2	1,0
3	1,0
4	1
5	0,1
6	0,7
7	0,1,2,3,9
8	0,5,9
9	7,11
10	4,7
11	0,10
12	6,8
13	1,3,5,7,9
14	0,2,4,6
15	2,4,6,8
16	3,5,7
17	1,4,8,10
18	2,3,6,9
19	0,2,4,7
20	5,6,8
21	0,1,3,5,9
22	2,6,7,11
23	0,4,8,10
24	2,5,7,9
25	1,3,6,8
26	0,2,4,7,10
27	1,5,9,11
28	3,6,8
29	2,4,7,10
30	1,3,5,7
31	0,6,9
32	2,4,8,10
33	1,3,6
34	5,7,9,10
35	0,2,4,8
36	3,6,9,10
37	1,5,7
38	2,4,7,8
39	0,3,6,9
40	1,5,8,11
41	2,4,7,9
42	0,3,6,8,10
43	1,5,7
44	2,4,9
45	0,3,6,8,11
46	1,5,7
47	2,4,7,10
48	0,3,6,9
49	1,5,8,11
