0	1,11
1	2,6
2	1,0
3	1,0
4	1
5	0,1
6	0,7
7	0,1,2,3,9
8	0,5,9
9	7,11
10	4,7
11	0,10
12	6,8
13	1,3,5,7,9
14	0,2,4,6
15	2,4,6,8
16	3,5,7
17	1,4,8,10
18	2,3,6,9
19	0,2,4,7
20	5,6,8
21	0,1,3,5,9
22	2,6,7,11
23	0,4,8,10
24	2,5,7,9
25	1,3,6,8
26	0,2,4,7,10
27	1,5,9,11
28	3,6,8
29	2,4,7,10
30	1,3,5,7
31	0,6,9
32	2,4,8,10
33	1,3,6
34	5,7,9,10
35	0,2,4,8
36	3,6,9,10
37	1,5,7
38	2,4,7,8
39	0,3,6,9
40	1,5,8,11
41	2,4,7,9
42	0,3,6,8,10
43	1,5,7
44	2,4,9
45	0,3,6,8,11
46	1,5,7
47	2,4,7,10
48	0,3,6,9
49	1,5,8,11
50	2,4,7,9
51	0,3,6,8,10
52	1,5,7
53	2,4,9
54	0,3,6,8,11
55	1,5,7
56	2,4,7,10
57	0,3,6,9
58	1,5,8,11
59	2,4,7,9
60	0,3,6,8,10
61	1,5,7
62	2,4,9
63	0,3,6,8,11
64	1,5,7
65	2,4,7,10
66	0,3,6,9
67	1,5,8,11
68	2,4,7,9
69	0,3,6,8,10
70	1,5,7
71	2,4,9
72	0,3,6,8,11
73	1,5,7
74	2,4,7,10
75	0,3,6,9
76	1,5,8,11
77	2,4,7,9
78	0,3,6,8,10
79	1,5,7
80	2,4,9
81	0,3,6,8,11
82	1,5,7
83	2,4,7,10
84	0,3,6,9
85	1,5,8,11
86	2,4,7,9
87	0,3,6,8,10
88	1,5,7
89	2,4,9
90	0,3,6,8,11
91	1,5,7
92	2,4,7,10
93	0,3,6,9
94	1,5,8,11
95	2,4,7,9
96	0,3,6,8,10
97	1,5,7
98	2,4,9
99	0,3,6,8,11
100	1,5,7
101	2,4,7,10
102	0,3,6,9
103	1,5,8,11
104	2,4,7,9
105	0,3,6,8,10
106	1,5,7
107	2,4,9
108	0,3,6,8,11
109	1,5,7
110	2,4,7,10
111	0,3,6,9
112	1,5,8,11
113	2,4,7,9
114	0,3,6,8,10
115	1,5,7
116	2,4,9
117	0,3,6,8,11
118	1,5,7
119	2,4,7,10
120	0,3,6,9
121	1,5,8,11
122	2,4,7,9
123	0,3,6,8,10
124	1,5,7
125	2,4,9
126	0,3,6,8,11
127	1,5,7
128	2,4,7,10
129	0,3,6,9
130	1,5,8,11
131	2,4,7,9
132	0,3,6,8,10
133	1,5,7
134	2,4,9
135	0,3,6,8,11
136	1,5,7
137	2,4,7,10
138	0,3,6,9
139	1,5,8,11
140	2,4,7,9
141	0,3,6,8,10
142	1,5,7
143	2,4,9
144	0,3,6,8,11
145	1,5,7
146	2,4,7,10
147	0,3,6,9
148	1,5,8,11
149	2,4,7,9
150	0,3,6,8,10
151	1,5,7
152	2,4,9
153	0,3,6,8,11
154	1,5,7
155	2,4,7,10
156	0,3,6,9
157	1,5,8,11
158	2,4,7,9
159	0,3,6,8,10
160	1,5,7
161	2,4,9
162	0,3,6,8,11
163	1,5,7
164	2,4,7,10
165	0,3,6,9
166	1,5,8,11
167	2,4,7,9
168	0,3,6,8,10
169	1,5,7
170	2,4,9
171	0,3,6,8,11
172	1,5,7
173	2,4,7,10
174	0,3,6,9
175	1,5,8,11
